Tumorsubtype,Feature,Effect Size,Pvalue,Tumor subtype
,Xenobiotic metabolism,357644.9294328092,5.370345409080926e-07,LAR
,FANCA,0.9997560566046004,0.0001435797949674665,LAR
,RB1,1.0000552345859086,0.1315484734141937,LAR
,Class-switched memory B-cells,815159723851.9893,0.00956274629887955,LAR
,IFNAR1,1.0001197640964126,0.23847494799534086,LAR
,CIN70,1.17330933478161e-07,9.03308531650427e-06,LAR
,Immune2,0.9999071892068128,0.02179652298057664,LAR
,cDC,1.0000051316021568,0.22602310208747023,LAR
,AR,657.2000918932632,6.539807036556081e-06,LAR
,ESR1 gene,1.0001286148149502,0.9703497798660837,LAR
,PALB2,0.9999836603493386,0.06775689412295795,LAR
,Hedgehog signaling,0.9998476081329694,0.017366542818606733,LAR
,AKT1,19.454235480164975,1.6998810375236586e-05,LAR
,BRCA1,0.9999296455759192,0.333839300148717,LAR
,Interferon alpha response,0.9998368782980536,0.444490880398031,LAR
,Coagulation,1.0000357496857548,0.6709858347653985,LAR
,NTRK3,0.9998737620463807,5.9618307754510235e-05,LAR
,CCND1,0.9998830927362732,0.807031511181052,LAR
,Apoptosis,1.0001285077619293,0.06310090164516648,LAR
,CCL5,0.999738600103718,0.0194717227194186,LAR
,Mitotic spindle,0.005995665955666397,0.0015522921942923578,LAR
,CDK2,1.000003225902052,0.6865395223577644,LAR
,CD27,0.9999993820333879,0.47020092503958577,LAR
,RAD50,1.0000251046555866,0.7988179178961806,LAR
,Oxidative phosphorylation,1.000312725913952,0.0005799055519802516,LAR
,CDK6,0.9999136838194654,0.17403720683892354,LAR
,mTORC1 signaling,1.0002201980843521,0.004280041047069313,LAR
,naive B-cells,0.9999996308294182,0.8567301910555958,LAR
,CD8+ T-cells,0.9999964974229886,0.5663239449400068,LAR
,pDC,1.0000060579406544,0.7140770437649064,LAR
,Epithelial cells,1.0000210710049071,0.7743137875749051,LAR
,Trm,0.9998902821885354,0.2025265856559486,LAR
,LIV-1,1.0002419173259693,0.46369746696457115,LAR
,TP53,0.9999430313720187,0.9661164221196323,LAR
,Smooth muscle,0.9999415314685118,0.19879016268315575,LAR
,TLS ST,0.9999373352135329,0.46369746696457115,LAR
,CD47,0.9998776277138682,0.39555263393092577,LAR
,Memory B-cells,0.9999910510778294,0.011838815348445457,LAR
,PDGFC,1.00007623060339,0.007685310487450523,LAR
,CSF1R,0.9998232352954453,0.003264074334907709,LAR
,TLS Cabrita,1.0000484729597852,0.444490880398031,LAR
,CCNE1,0.9997062584262484,1.2121412909909042e-05,LAR
,TLR3,1.0000153858136136,0.5309390350662344,LAR
,ERBB2,1.000319996122403,0.021193750235308662,LAR
,TTK,0.9999659061077149,0.03837024048382922,LAR
